,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
11,0.055,1.53E-09,-1.01E-05,-6.32E-05,-0.00016545,-0.00032773,-0.000568428,-0.000917573,-0.00142725,-0.00220234,-0.003532,1.01E-05,2.33E-07,-5.16E-05,-0.000151231,-0.000309209,-0.000542928,-0.000880152,-0.00136663,-0.00208402,-0.00318573,6.05E-05,5.19E-05,6.60E-06,-8.03E-05,-0.000217284,-0.000417694,-0.000700418,-0.00108976,-0.00160876,-0.00224177,0.000146754,0.000140205,0.000105796,4.00E-05,-6.29E-05,-0.000211382,-0.000415331,-0.000682406,-0.00100719,-0.00134587,0.000260186,0.000256308,0.000235952,0.000197129,0.000136611,5.01E-05,-6.67E-05,-0.000214686,-0.000385185,-0.000549336,0.000389728,0.000388872,0.000384361,0.000375668,0.000361887,0.000341721,0.000313693,0.000276864,0.000232513,0.000186841,0.00052282,0.000525073,0.000536868,0.000559156,0.000593327,0.000640903,0.00070251,0.00077573,0.000851585,0.000911371,0.000646505,0.000651692,0.000678907,0.000730685,0.000811074,0.000925358,0.00107837,0.00126994,0.00148488,0.00167711,0.00074856,0.000756227,0.000796528,0.000873637,0.000994675,0.00117016,0.00141329,0.00173599,0.00213444,0.00254685,0.000818656,0.000828069,0.000877628,0.000972901,0.00112389,0.00134677,0.00166619,0.00211837,0.00275032,0.00357611
12,0.06,1.71E-09,-1.00E-05,-6.28E-05,-0.000164486,-0.000325877,-0.000565191,-0.000912145,-0.00141822,-0.002187,-0.00350652,9.99E-06,2.25E-07,-5.13E-05,-0.000150415,-0.000307567,-0.000540016,-0.000875279,-0.00135867,-0.0020712,-0.00316629,6.01E-05,5.16E-05,6.50E-06,-8.00E-05,-0.000216412,-0.000415985,-0.000697566,-0.0010855,-0.00160334,-0.002238,0.000145908,0.000139401,0.000105127,3.96E-05,-6.31E-05,-0.000211291,-0.000415023,-0.000682244,-0.00100828,-0.00135094,0.000258823,0.000254961,0.000234635,0.000195823,0.000135254,4.85E-05,-6.88E-05,-0.000217945,-0.000390716,-0.000558754,0.000387844,0.000386978,0.000382404,0.00037356,0.000359476,0.000338736,0.000309672,0.000271074,0.000223954,0.000174513,0.000520463,0.000522685,0.000534347,0.000556374,0.000590087,0.000636881,0.000697179,0.00076828,0.000840925,0.0008964,0.000643756,0.000648898,0.000675938,0.000727403,0.00080728,0.000920743,0.00107242,0.00126179,0.00147313,0.00165977,0.000745512,0.000753123,0.000793231,0.000870022,0.000990582,0.00116537,0.00140743,0.00172835,0.00212337,0.00252861,0.000815396,0.000824746,0.000874106,0.000969076,0.00111965,0.00134203,0.00166087,0.00211238,0.00274295,0.00356241
13,0.065,8.74E-10,-9.92E-06,-6.24E-05,-0.000163504,-0.000323978,-0.000561854,-0.000906523,-0.0014088,-0.0021709,-0.0034795,9.89E-06,2.15E-07,-5.10E-05,-0.000149583,-0.000305884,-0.000537017,-0.000870235,-0.00135039,-0.00205777,-0.00314574,5.97E-05,5.12E-05,6.39E-06,-7.97E-05,-0.000215529,-0.000414244,-0.00069465,-0.00108113,-0.0015978,-0.00223427,0.000145038,0.000138573,0.000104433,3.91E-05,-6.33E-05,-0.000211244,-0.000414786,-0.000682216,-0.00100966,-0.00135667,0.000257422,0.000253575,0.000233275,0.000194464,0.000133822,4.69E-05,-7.10E-05,-0.000221515,-0.000396781,-0.000569076,0.000385911,0.000385035,0.00038039,0.00037138,0.000356963,0.000335596,0.000305401,0.000264876,0.000214743,0.000161202,0.000518051,0.000520242,0.000531764,0.000553514,0.000586737,0.000632692,0.000691583,0.0007604,0.000829577,0.000880399,0.000640954,0.000646048,0.000672908,0.000724048,0.00080339,0.000915988,0.00106625,0.00125328,0.00146074,0.00164138,0.000742414,0.000749968,0.000789881,0.000866348,0.00098642,0.00116048,0.00140145,0.00172049,0.00211185,0.00250937,0.000812088,0.000821377,0.000870539,0.000965207,0.00111538,0.00133726,0.00165555,0.00210642,0.00273561,0.00354816
14,0.07,9.59E-10,-9.83E-06,-6.20E-05,-0.000162489,-0.000322014,-0.000558397,-0.00090068,-0.00139898,-0.00215402,-0.00345088,9.80E-06,2.08E-07,-5.07E-05,-0.000148721,-0.000304143,-0.00053391,-0.000864993,-0.00134175,-0.0020437,-0.00312402,5.93E-05,5.09E-05,6.28E-06,-7.94E-05,-0.000214619,-0.00041245,-0.000691643,-0.00107662,-0.00159209,-0.00223049,0.00014415,0.000137727,0.000103722,3.86E-05,-6.36E-05,-0.000211221,-0.000414593,-0.00068229,-0.00101128,-0.00136301,0.000255992,0.000252159,0.00023188,0.000193061,0.00013233,4.51E-05,-7.35E-05,-0.000225368,-0.000403348,-0.00058026,0.000383937,0.000383049,0.000378328,0.000369138,0.000354361,0.000332315,0.000300898,0.000258291,0.000204905,0.000146933,0.000515593,0.000517751,0.000529125,0.000550584,0.000583288,0.000628351,0.000685738,0.000752105,0.000817558,0.00086338,0.000638103,0.00064315,0.000669824,0.000720627,0.000799412,0.000911103,0.00105987,0.0012444,0.00144771,0.00162191,0.000739269,0.000746767,0.000786483,0.000862622,0.000982198,0.00115553,0.00139534,0.00171243,0.00209986,0.00248907,0.000808739,0.000817966,0.000866932,0.000961301,0.00111107,0.00133248,0.00165025,0.00210051,0.00272829,0.00353327
15,0.075,1.06E-09,-9.74E-06,-6.16E-05,-0.000161462,-0.00032002,-0.000554877,-0.000894711,-0.00138891,-0.0021366,-0.00342074,9.71E-06,1.99E-07,-5.04E-05,-0.000147851,-0.000302376,-0.000530747,-0.000859642,-0.0013329,-0.00202925,-0.00310202,5.89E-05,5.05E-05,6.16E-06,-7.91E-05,-0.000213705,-0.00041064,-0.0006886,-0.00107205,-0.00158631,-0.00222668,0.000143246,0.000136865,0.000102993,3.80E-05,-6.39E-05,-0.000211235,-0.00041446,-0.000682468,-0.00101309,-0.00136973,0.000254536,0.000250717,0.000230455,0.00019162,0.000130781,4.32E-05,-7.61E-05,-0.000229466,-0.000410323,-0.000592128,0.000381932,0.000381032,0.000376227,0.000366844,0.000351681,0.000328911,0.000296192,0.000251371,0.000194526,0.000131837,0.000513102,0.000515226,0.000526447,0.000547601,0.00057976,0.000623882,0.000679677,0.000743445,0.000804937,0.00084544,0.000635222,0.00064022,0.000666705,0.000717162,0.00079537,0.000906116,0.00105332,0.0012352,0.0014341,0.00160142,0.0007361,0.000743541,0.000783058,0.000858866,0.00097794,0.00115052,0.00138916,0.00170419,0.00208746,0.00246774,0.00080537,0.000814537,0.000863308,0.000957381,0.00110676,0.00132771,0.00164499,0.00209468,0.00272102,0.00351772
16,0.08,1.14E-09,-9.65E-06,-6.11E-05,-0.000160413,-0.000317976,-0.000551258,-0.000888556,-0.00137849,-0.00211851,-0.00338898,9.61E-06,1.90E-07,-5.01E-05,-0.000146961,-0.000300565,-0.000527495,-0.000854124,-0.00132374,-0.00201427,-0.00307911,5.84E-05,5.02E-05,6.04E-06,-7.88E-05,-0.000212773,-0.000408789,-0.00068548,-0.00106736,-0.00158035,-0.00222271,0.00014232,0.000135982,0.000102243,3.75E-05,-6.42E-05,-0.000211279,-0.00041437,-0.000682729,-0.00101509,-0.00137691,0.000253046,0.00024924,0.000228992,0.000190131,0.000129169,4.13E-05,-7.88E-05,-0.000233821,-0.000417743,-0.000604759,0.000379882,0.000378968,0.000374074,0.000364483,0.000348909,0.000325367,0.00029126,0.000244082,0.000183555,0.000115828,0.000510559,0.000512648,0.000523709,0.000544542,0.000576127,0.000619255,0.000673366,0.000734376,0.00079166,0.000826521,0.000632287,0.000637236,0.000663525,0.000713624,0.000791233,0.00090099,0.00104654,0.00122563,0.00141984,0.00157984,0.000732879,0.000740263,0.000779579,0.00085505,0.00097361,0.00114542,0.00138284,0.00169571,0.00207455,0.00244525,0.000801953,0.000811059,0.000859636,0.000953415,0.00110241,0.00132291,0.00163971,0.00208886,0.0027137,0.00350136
17,0.085,1.23E-09,-9.56E-06,-6.07E-05,-0.000159338,-0.000315876,-0.000547528,-0.000882195,-0.0013677,-0.0020997,-0.00335563,9.52E-06,1.80E-07,-4.98E-05,-0.000146049,-0.000298703,-0.000524144,-0.00084842,-0.00131425,-0.00199866,-0.00305508,5.80E-05,4.98E-05,5.91E-06,-7.85E-05,-0.00021182,-0.00040689,-0.000682271,-0.00106251,-0.00157418,-0.00221851,0.000141371,0.000135075,0.000101469,3.69E-05,-6.45E-05,-0.000211348,-0.00041432,-0.000683066,-0.00101727,-0.00138453,0.000251517,0.000247723,0.000227486,0.000188592,0.00012749,3.92E-05,-8.17E-05,-0.000238441,-0.000425618,-0.00061818,0.00037778,0.000376851,0.000371863,0.000362051,0.000346038,0.000321674,0.000286092,0.00023641,0.000171966,9.89E-05,0.000507957,0.000510009,0.000520903,0.0005414,0.000572382,0.000614462,0.00066679,0.000724877,0.000777692,0.000806568,0.000629289,0.000634187,0.000660276,0.000710004,0.000786989,0.000895713,0.00103953,0.00121567,0.0014049,0.0015571,0.000729596,0.000736922,0.000776034,0.000851162,0.000969197,0.00114021,0.00137638,0.00168699,0.00206117,0.00242129,0.000798476,0.000807521,0.000855904,0.000949389,0.001098,0.00131805,0.00163441,0.00208303,0.00270629,0.00348409
18,0.09,1.31E-09,-9.47E-06,-6.02E-05,-0.000158234,-0.000313714,-0.000543679,-0.000875615,-0.0013565,-0.00208014,-0.00332068,9.42E-06,1.70E-07,-4.94E-05,-0.000145111,-0.000296785,-0.000520683,-0.000842517,-0.0013044,-0.00198242,-0.00302986,5.75E-05,4.94E-05,5.78E-06,-7.82E-05,-0.000210841,-0.000404933,-0.000678955,-0.00105749,-0.00156774,-0.00221398,0.000140396,0.000134142,0.000100671,3.63E-05,-6.48E-05,-0.000211435,-0.000414294,-0.000683454,-0.00101957,-0.00139253,0.000249945,0.000246163,0.000225933,0.000186999,0.000125743,3.71E-05,-8.47E-05,-0.000243307,-0.000433919,-0.000632351,0.000375619,0.000374674,0.000369584,0.000359538,0.000343061,0.000317828,0.000280689,0.000228361,0.00015978,8.10E-05,0.000505283,0.000507297,0.000518017,0.000538162,0.000568511,0.000609488,0.000659939,0.000714941,0.000763043,0.00078563,0.000626214,0.000631061,0.000656942,0.000706285,0.000782621,0.000890263,0.00103226,0.00120529,0.00138926,0.00153326,0.000726234,0.000733502,0.000772405,0.000847182,0.000964677,0.00113487,0.00136972,0.00167796,0.00204715,0.00239623,0.00079492,0.000803905,0.000852091,0.000945281,0.00109351,0.00131312,0.00162903,0.00207713,0.00269872,0.0034658
19,0.095,1.40E-09,-9.37E-06,-5.98E-05,-0.000157099,-0.000311486,-0.000539706,-0.000868809,-0.0013449,-0.00205984,-0.00328416,9.32E-06,1.60E-07,-4.91E-05,-0.000144147,-0.000294808,-0.000517109,-0.000836407,-0.00129418,-0.00196552,-0.00300339,5.71E-05,4.90E-05,5.65E-06,-7.79E-05,-0.000209833,-0.000402916,-0.000675528,-0.00105228,-0.001561,-0.00220904,0.000139394,0.000133182,9.98E-05,3.57E-05,-6.52E-05,-0.00021154,-0.000414289,-0.000683885,-0.001022,-0.00140083,0.000248328,0.000244557,0.000224332,0.000185351,0.000123929,3.48E-05,-8.79E-05,-0.000248417,-0.000442641,-0.000647256,0.000373396,0.000372435,0.000367238,0.000356944,0.000339977,0.000313828,0.000275046,0.000219932,0.000146988,6.22E-05,0.000502536,0.000504511,0.000515049,0.000534827,0.000564511,0.00060433,0.000652805,0.000704559,0.000747696,0.000763685,0.000623058,0.000627853,0.000653521,0.000702465,0.000778124,0.000884636,0.00102472,0.00119447,0.0013729,0.00150824,0.000722789,0.000729998,0.00076869,0.000843106,0.000960046,0.00112939,0.00136288,0.00166861,0.00203252,0.00236984,0.000791282,0.000800206,0.000848195,0.000941087,0.00108893,0.0013081,0.00162358,0.00207117,0.00269097,0.00344635
20,0.1,1.48E-09,-9.27E-06,-5.93E-05,-0.00015593,-0.000309186,-0.000535595,-0.000861756,-0.00133286,-0.00203876,-0.00324605,9.22E-06,1.49E-07,-4.87E-05,-0.000143152,-0.000292763,-0.000513407,-0.000830068,-0.00128356,-0.00194791,-0.00297555,5.66E-05,4.86E-05,5.51E-06,-7.76E-05,-0.000208792,-0.000400825,-0.000671966,-0.00104684,-0.00155391,-0.00220357,0.00013836,0.000132192,9.90E-05,3.51E-05,-6.56E-05,-0.000211652,-0.000414285,-0.000684325,-0.00102448,-0.00140938,0.000246658,0.000242898,0.000222675,0.000183644,0.000122043,3.25E-05,-9.12E-05,-0.000253749,-0.000451743,-0.000662829,0.000371101,0.000370122,0.000364812,0.000354257,0.000336776,0.000309664,0.00026916,0.000211123,0.000133604,4.25E-05,0.000499699,0.000501634,0.000511983,0.000531376,0.000560365,0.000598969,0.000645369,0.000693706,0.000731619,0.000740664,0.000619803,0.000624543,0.00064999,0.00069852,0.000773473,0.000878802,0.00101688,0.00118317,0.00135574,0.00148197,0.000719239,0.000726388,0.000764862,0.000838907,0.000955272,0.00112374,0.00135579,0.00165888,0.00201718,0.00234198,0.000787538,0.0007964,0.000844189,0.000936776,0.00108422,0.00130295,0.00161799,0.00206506,0.00268295,0.00342556
